venuename,teams,year,totalcost,publiccost,totalcost2020,publiccost2020,pubpct100,stadium,arena,source
Capital One Arena,Washington Wizards & Capitals,1997,200,0,322,0,0,0,1,"Long (2013), https://www.bizjournals.com/washington/news/2019/12/09/take-a-look-at-the-big-upgrades-at-capital-one.html"
FedEx Field,Washington Commanders,1997,180,0,289.79999,0,0,1,0,Long (2013)
Turner Field,Atlanta Braves,1997,235,0,378.35001,0,0,1,0,Long (2013)
Chase Field,Arizona Diamondbacks,1998,354,253,562.85999,402.26999,71.468925,1,0,"Long (2013), https://sports.yahoo.com/arizona-approves-ballpark-sales-tax-095516137.html"
FLA Live Arena,Florida Panthers,1998,185,157,294.14999,249.63,84.864868,0,1,Long (2013)
M&T Bank Stadium,Baltimore Ravens,1998,220,191,349.79999,303.69,86.818184,1,0,"Long (2013), https://www.southbmore.com/2019/07/24/ravens-complete-120-million-renovation-to-mt-bank-stadium/"
Raymond James Stadium,Tampa Bay Buccaneers,1998,169,169,268.70999,268.70999,100,1,0,"Long (2013), https://raymondjamesstadium.com/aboutrjs"
Ball Arena,Denver Nuggets & Colorado Avalanche,1999,180,0,279,0,0,0,1,Long (2013)
Crypto.com Arena,LA Lakers & Clippers & Kings,1999,315,0,488.25,0,0,0,1,Long (2013)
FTX Arena,Miami Heat,1999,213,0,330.14999,0,0,0,1,Long (2013)
FirstEnergy Stadum,Cleveland Browns,1999,311,237,482.04999,367.35001,76.205788,1,0,"Long (2013), https://www.espn.com/blog/cleveland-browns/post/_/id/25432/browns-begin-study-of-downtown-development-that-could-include-new-stadium"
Gainbridge Fieldhouse,Indiana Pacers,1999,178,178,275.89999,275.89999,100,0,1,"Long (2013), https://apnews.com/article/51906d22452f45d7a4311a805deb2df0"
Nissan Stadium,Tennessee Titans,1999,258,206,399.89999,319.29999,79.844963,1,0,Long (2013)
PNC Arena,Carolina Hurricanes,1999,158,138,244.89999,213.89999,87.341774,0,1,"Long (2013), https://www.newsobserver.com/sports/article261124627.html"
Scotiabank Arena,Toronto Raptors & Maple Leafs,1999,238,0,368.89999,0,0,0,1,"Long (2013), https://www.nba.com/raptors/news/accexpansion_presser_091109.html"
Smoothie King Center,New Orleans Pelicans,1999,114,84,176.7,130.2,73.684212,0,1,"Long (2013), https://www.fox8live.com/story/23751072/pelicans-unveil-arena-renovations/"
State Farm Arena,Atlanta Hawks & Thrashers,1999,150,150,232.5,232.5,100,0,1,"Long (2013), https://www.ajc.com/sports/hawks-unveil-arena-extreme-makeover/HzqSR5iiI3X1oa1KvI1fdI/"
T-Mobile Park,Seattle Mariners,1999,517,391,801.34998,606.04999,75.628624,1,0,Long (2013)
Comerica Park,Detroit Tigers,2000,310,133,465,199.5,42.903225,1,0,Long (2013)
Minute Maid Park,Houston Astros,2000,265,180,397.5,270,67.92453,1,0,Long (2013)
Nationwide Arena,Columbus Blue Jackets,2000,150,0,225,0,0,0,1,Long (2013)
Oracle Park,San Francisco Giants,2000,324,15,486,22.5,4.6296296,1,0,Long (2013)
Paul Brown Stadium,Cincinnati Bengals,2000,450,404,675,606,89.777779,1,0,Long (2013)
Xcel Energy Center,Minnesota Wild,2000,130,95,195,142.5,73.07692,0,1,Long (2013)
American Airlines Center,Dallas Mavericks & Stars,2001,390,125,569.40002,182.5,32.051281,0,1,Long (2013)
American Family Field,Milwaukee Brewers,2001,392,290,572.32001,423.39999,73.979591,1,0,Long (2013)
Empower Field at Mile High,Denver Broncos,2001,400,289,584,421.94,72.25,1,0,Long (2013)
Heinz Field,Pittsburgh Steelers,2001,261,199,381.06,290.54001,76.245209,1,0,Long (2013)
PNC Park,Pittsburgh Pirates,2001,271,196,395.66,286.16,72.324722,1,0,Long (2013)
AT&T Center,San Antonio Spurs,2002,175,147,252,211.67999,84,0,1,"Long (2013), https://www.nba.com/spurs/gallery/att-center-renovations-after"
Ford Field,Detroit Lions,2002,430,264,619.20001,380.16,61.395348,1,0,"Long (2013), https://www.freep.com/story/sports/nfl/lions/2017/07/19/ford-field-renovation-video-board/492739001/"
Gillette Stadium,New England Patriots,2002,325,0,468,0,0,1,0,"Long (2013), https://www.patriots.com/news/transformational-enhancements-coming-to-gillette-stadium-2023"
Lumen Field,Seattle Seahawks,2002,360,230,518.40002,331.20001,63.888889,1,0,Long (2013)
NRG Stadium,Houston Texans,2002,425,310,612,446.39999,72.941177,1,0,Long (2013)
Paycom Center,Oklahoma City Thunder,2002,89,89,128.16,128.16,100,0,1,"Long (2013), https://fox4kc.com/business/kansas-city-firm-to-lead-105m-renovation-of-oklahoma-citys-nba-arena/, https://stories.usatodaynetwork.com/maps4/maps-4-proposal-for-chesapeake-would-prolong-life-of-arena/"
Gila River Arena,Arizona Coyotes,2003,220,180,310.20001,253.8,81.818184,0,1,Long (2013)
Great American Ballpark,Cincinnati Reds,2003,280,250,394.79999,352.5,89.285713,1,0,Long (2013)
Lincoln Financial Field,Philadelphia Eagles,2003,360,202,507.60001,284.82001,56.111111,1,0,"Long (2013), https://www.nfl.com/news/philadelphia-eagles-announce-125m-stadium-revitalization-plan-0ap1000000210397"
Toyota Center,Houston Rockets,2003,175,175,246.75,246.75,100,0,1,Long (2013)
Canada Life Centre,Winnepeg Jets,2004,108.1,32.799999,148.097,44.936001,30.342276,0,1,https://calgaryherald.com/news/local-news/a-look-at-canadian-stadiums-built-with-public-funds
Citizens Bank Park,Philadelphia Phillies,2004,458,322,627.46002,441.14001,70.305679,1,0,Long (2013)
FedEx Forum,Memphis Grizzlies,2004,250,207,342.5,283.59,82.800003,0,1,Long (2013)
Petco Park,San Diego Padres,2004,483,349,661.71002,478.13,72.256729,1,0,Long (2013)
Spectrum Center,Charlotte Hornets,2005,212,172,281.95999,228.75999,81.132072,0,1,"Long (2013), https://www.wsoctv.com/news/local/charlotte-leaders-discuss-renovating-spectrum-center/OYYLBWOS7NH6VB3BAKDQA54AFQ/"
Busch Stadium,St. Louis Cardinals,2006,365,245,467.20001,313.60001,67.123291,1,0,Long (2013)
State Farm Stadium,Arizona Cardinals,2006,395,252,505.60001,322.56,63.79747,1,0,"Long (2013), https://www.azcentral.com/story/news/local/glendale/2018/07/27/upgrades-university-phoenix-arizona-cardinals-stadium-glendale-nfl/769976002/"
Prudential Center,New Jersey Devils,2007,375,220,468.75,275,58.666668,0,1,Long (2013)
Lucas Oil Stadium,Indianapolis Colts,2008,720,620,864,744,86.111115,1,0,Long (2013)
Nationals Park,Washington Nationals,2008,524,443,628.79999,531.59998,84.541985,1,0,Long (2013)
AT&T Stadium,Dallas Cowboys,2009,1194,325,1444.74,393.25,27.219431,1,0,Long (2013)
Citi Field,New York Mets,2009,575,141,695.75,170.61,24.52174,1,0,Long (2013)
Yankee Stadium,New York Yankees,2009,1308,293,1582.6801,354.53,22.400612,1,0,Long (2013)
Amway Center,Orlando Magic,2010,380,330,452.20001,392.70001,86.842102,0,1,Long (2013)
MetLife Stadium,New York Giants & Jets,2010,1570,0,1868.3,0,0,1,0,Long (2013)
PPG Paints Arena,Pittsburgh Penguins,2010,321,307,381.98999,365.32999,95.638626,0,1,Long (2013)
Target Field,Minnesota Twins,2010,435,260,517.65002,309.39999,59.770115,1,0,Long (2013)
Barclays Center,Brooklyn Nets,2012,1000,527,1130,595.51001,52.700001,0,1,https://www.nytimes.com/2018/07/11/nyregion/stadiums-arenas-funding-nyc.html
LoanDepot Park,Miami Marlins,2012,634,514,716.41998,580.82001,81.072556,1,0,"H. BEASLEY AND CHARLES RABIN, A 2012, 'Playing hardball"", Miami Herald, The (FL), March 18, 2012."
Levi's Stadium,San Francisco 49ers,2014,1300,850,1417,926.5,65.384613,1,0,"Rosenberg, M. (2013, Jun 07). 49ers new santa clara stadium cost goes up again -- to $1.3 billion. Oakland Tribune"
Golden 1 Center,Sacramento Kings,2016,535,255,577.79999,275.39999,47.663551,0,1,https://www.sacbee.com/news/local/city-arena/article79420892.html
Rogers Place,Edmonton Oilers,2016,638,463,689.03998,500.04001,72.570534,0,1,https://www.edmonton.ca/attractions_events/rogers_place/the-agreement; Conversion to US$ in 2016 * 1.32 (https://www.bankofcanada.ca/rates/exchange/legacy-noon-and-closing-rates/)
T-Mobile Arena,Las Vegas Golden Knights,2016,375,0,405,0,0,0,1,https://www.cnbc.com/2016/04/06/a-375-million-vegas-project-with-no-slot-machines.html
U.S. Bank Stadium,Minnesota Vikings,2016,1061,498,1145.88,537.84003,46.936852,1,0,https://www.espn.com/nfl/story/_/id/12566029/wilf-family-pledges-195-million-more-minnesota-vikings-stadium
Little Caesars Arena,Detroit Pistons & Red Wings,2017,863,324,914.78003,343.44,37.543453,0,1,"https://www.record-eagle.com/opinion/opinion-shiny-new-sports-stadiums-a-loser-for-taxpayers/article_b32984d2-944c-11e9-b156-f7e2152f4a9d.html#:~:text=Taxpayers%20paid%20%24324%20million%20out,gone%20to%20Detroit%20Public%20Schools."
Mercedes-Benz Stadium,Atlanta Falcons,2017,1600,700,1696,742,43.75,1,0,https://www.ajc.com/sports/football/new-stadium-lures-2019-super-bowl-atlanta/kJKUJdLlOwzOmoVAMkEFkO/;  https://www.bizjournals.com/atlanta/morning_call/2016/06/officials-mercedes-benz-stadium-cost-rises-to-1-6.html
Truist Park,Atlanta Braves,2017,672,300,712.32001,318,44.642857,1,0,https://www.mdjonline.com/news/b-the-braves-in-cobb-b-a-financial-check-4-months-into-the-season/article_8cea70c6-8556-11e7-8cbb-b7e8ed4fc970.html
Fiserv Forum,Milwaukee Bucks,2018,524,250,539.71997,257.5,47.709923,0,1,https://www.jsonline.com/story/entertainment/music/2019/01/25/fiserv-forum-concert-biz-so-far-128-850-tickets-sold-13-8-million-made/2637426002/
Chase Center,Golden State Warriors,2019,1400,0,1414,0,0,0,1,https://www.businessinsider.com/how-chase-center-built-warriors-cost-perfect-storm-2019-3
Allegiant Stadium,Las Vegas Raiders,2020,1970,750,1970,750,38.071068,1,0,"https://www.reviewjournal.com/business/stadium/allegiant-stadium-construction-to-end-up-25m-under-budget-2211276/, https://www.reviewjournal.com/business/tourism/revenue-from-las-vegas-room-taxes-surges-in-january/"
Globe Life Field,Texas Rangers,2020,1200,500,1200,500,41.666668,1,0,https://www.mlb.com/rangers/ballpark/facts-figures
SoFi Stadium,Los Angeles Chargers & Rams,2020,5500,0,5500,0,0,1,0,https://theramswire.usatoday.com/2020/05/20/nfl-rams-sofi-stadium-owners-approve-500-million/
Climate Pledge Arena*,Seattle Kraken,2021,,,,,,0,1,"Long (2013), https://www.seattletimes.com/sports/kraken/after-1-15-billion-renovation-seattles-climate-pledge-arena-will-surprise-people-in-the-greatest-way/"
UBS Arena,New York Islanders,2021,1100,0,1056,0,0,0,1,https://www.forbes.com/sites/timnewcomb/2021/11/17/new-yorks-ubs-arena-opens-hockey-specific-design-nov-20/?sh=9310af46743d
Intuit Dome,Los Angeles Clippers,2024,1800,0,1728,0,0,0,1,https://www.cbsnews.com/losangeles/news/clippers-new-1-8b-inglewood-arena-the-intuit-dome-to-break-ground-friday/
